endTime,artistName,trackName,msPlayed
2019-11-11 16:17,Russ,RENT FREE,671
2019-11-11 16:17,Eye on Eyez,Polar Bear,0
2019-11-11 16:17,Roc Marciano,Power,351
2019-11-11 16:17,J. Cole,The Cut Off (feat. kiLL edward),138
2019-11-11 16:20,K CAMP,Comfortable,10
2019-11-11 16:20,Drake,Worst Behavior,4585
2019-11-11 16:20,Quality Control,100 Racks (Offset feat. Playboi Carti),157645
2019-11-11 16:20,J. Cole,FRIENDS (feat. kiLL edward),2485
2019-11-11 16:20,Khalid,Motion,703
2019-11-11 16:20,J. Cole,January 28th,768
2019-11-11 16:20,Rich The Kid,Lost It (feat. Quavo & Offset),4928
2019-11-11 16:20,Lil Yachty,Get Dripped (feat. Playboi Carti),917
2019-11-11 16:20,J. Cole,St. Tropez,0
2019-11-11 16:20,Quavo,BIGGEST ALLEY OOP,1141
2019-11-11 16:20,Chance the Rapper,Angels (feat. Saba),597
2019-11-11 16:20,Quality Control,Fu*k Dat Ni**a,789
2019-11-11 16:23,Quavo,BIGGEST ALLEY OOP,180960
2019-11-11 16:28,Rich The Kid,Lost It (feat. Quavo & Offset),272152
2019-11-11 16:31,Key Glock,Yea!!,8938
2019-11-11 16:31,Chance the Rapper,I Might Need Security,172532
2019-11-11 16:33,ZaeHD & CEO,ROBOTICS,341
2019-11-11 16:33,Gunna,Same Yung Nigga (feat. Playboi Carti),95338
2019-11-11 16:33,UMI,Midnight Blues,1066
2019-11-11 16:35,Mustard,Pure Water (with Migos),3541
2019-11-11 16:35,Gunna,Yao Ming,149613
2019-11-11 16:35,Fetty Wap,Zoo (feat. Tee Grizzley),14313
2019-11-11 16:39,Roddy Ricch,Out Tha Mud,212051
2019-11-11 18:36,Quality Control,Stripper Bowl,2293
2019-11-11 18:36,Rich The Kid,Splashin,5854
2019-11-11 18:49,Tyla Yaweh,I Think I Luv Her (feat. YG),101888
2019-11-11 18:53,Childish Gambino,Terrified,8059
2019-11-11 18:53,Sango,Sweet Holy Honey,225296
